2025-06-23 02:07:40.126 [http-nio-8080-exec-4] INFO  c.codingtracker.controller.api.auth.AuthController - 用户登录尝试: 用户名=admin
2025-06-23 02:07:40.309 [http-nio-8080-exec-4] INFO  c.codingtracker.controller.api.auth.AuthController - 用户登录成功: 用户名=admin
2025-06-23 02:07:40.463 [http-nio-8080-exec-6] INFO  c.codingtracker.controller.api.auth.AuthController - 请求获取用户个人信息: 用户名=admin
2025-06-23 02:07:40.482 [http-nio-8080-exec-6] INFO  c.codingtracker.controller.api.auth.AuthController - 成功返回用户个人信息: 用户名=admin
2025-06-23 02:07:40.734 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:40.737 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:40.735 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:40.735 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:40.795 [http-nio-8080-exec-1] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:07:40.795 [http-nio-8080-exec-3] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:07:40.796 [http-nio-8080-exec-3] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:07:40.821 [http-nio-8080-exec-1] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:07:40.866 [http-nio-8080-exec-10] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:07:40.913 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:07:40.915 [http-nio-8080-exec-10] INFO  c.c.controller.api.user.UserListController - 成功返回用户列表，共4个用户
2025-06-23 02:07:40.916 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:07:40.985 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:07:40.988 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:07:40.989 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:07:40.997 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:07:41.029 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:41.032 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:41.120 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:07:41.139 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:07:41.864 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 用户 admin 请求手动重建系统数据
2025-06-23 02:07:43.141 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 管理员 admin 成功触发手动重建任务（异步）
2025-06-23 02:07:43.205 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:43.225 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:07:43.232 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:07:43.232 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:07:43.255 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:07:43.292 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:07:50.944 [http-nio-8080-exec-1] INFO  c.c.controller.api.admin.AdminUserController - 管理员请求获取所有用户列表
2025-06-23 02:07:50.958 [http-nio-8080-exec-7] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:07:50.961 [http-nio-8080-exec-8] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:07:50.963 [http-nio-8080-exec-8] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:07:50.968 [http-nio-8080-exec-7] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:07:50.993 [http-nio-8080-exec-1] INFO  c.c.controller.api.admin.AdminUserController - 成功返回用户列表，共5个用户
2025-06-23 02:07:57.995 [http-nio-8080-exec-2] INFO  c.c.controller.api.admin.AdminUserController - 管理员请求获取所有用户列表
2025-06-23 02:07:58.008 [http-nio-8080-exec-8] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:07:58.007 [http-nio-8080-exec-10] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:07:58.010 [http-nio-8080-exec-10] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:07:58.018 [http-nio-8080-exec-8] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:07:58.031 [http-nio-8080-exec-2] INFO  c.c.controller.api.admin.AdminUserController - 成功返回用户列表，共5个用户
2025-06-23 02:08:00.190 [http-nio-8080-exec-7] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:08:00.190 [http-nio-8080-exec-7] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:08:00.201 [http-nio-8080-exec-1] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:08:00.207 [http-nio-8080-exec-1] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:08:00.237 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.268 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.273 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.270 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.293 [http-nio-8080-exec-6] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:08:00.295 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:08:00.295 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
